datetime: 2014-01-01 01:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 4.4927174778597339 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 4.6554815535623986 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 4.6591826205348923 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 4.6421103389842537 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 4.6463737119903561 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 4.6463029474995601 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 4.646625506847581 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 4.6465971805880315 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 4.6465751904588233 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 4.6465777542583293 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 18 ,nearest: |[0.00098, 0.00137]| ,std: 4.6465763370836664 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 4.6894348606036793 ,rms: 9.4869678009286158
datetime: 2014-01-01 02:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 3.9626593604475695 ,rms: 53.855650459013404
datetime: 2014-01-01 02:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 3.9381961698596299 ,rms: 22.554435867624285
datetime: 2014-01-01 02:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 4.2280233690939824 ,rms: 9.8569287373466601
datetime: 2014-01-01 02:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 4.263303279561228 ,rms: 7.5355999756872807
datetime: 2014-01-01 02:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 4.2747007993666069 ,rms: 8.5776259372385493
datetime: 2014-01-01 02:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 4.2767151331516571 ,rms: 9.6426339179421277
datetime: 2014-01-01 02:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 4.2766682383807773 ,rms: 9.8689821862184619
datetime: 2014-01-01 02:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 4.2765996577928309 ,rms: 10.013098227353025
datetime: 2014-01-01 02:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 4.2766173141248522 ,rms: 9.8609308886166609
datetime: 2014-01-01 02:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 4.2766115000369584 ,rms: 9.9085960284959391
datetime: 2014-01-01 02:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 4.2766167335252874 ,rms: 9.8744623782478325
datetime: 2014-01-01 02:00:00 ,level: 18 ,nearest: |[0.00098, 0.00137]| ,std: 4.2766167269535105 ,rms: 9.9060665104385031
datetime: 2014-01-01 02:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 4.6894348606036793 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 3.8110266262585712 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 3.9094313344808387 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 4.0798965797480795 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 4.0964430368262414 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 4.1013620905433195 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 4.1024989379573658 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 4.1023145847265949 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 4.1022008385934061 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 4.1022205987816962 ,rms: 66.119835172531864
datetime: 2014-01-01 02:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 4.1022143383086638 ,rms: 65.949757395094935
datetime: 2014-01-01 02:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 4.1022194835456069 ,rms: 66.204936834592758
datetime: 2014-01-01 02:00:00 ,level: 18 ,nearest: |[0.00098, 0.00137]| ,std: 4.1022195609163239 ,rms: 66.259306663797389
datetime: 2014-01-01 02:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 4.7355081929959093 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 3.8502513418534199 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 4.0248577482989329 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 4.2930670721553028 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 4.3084774777930672 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 4.3102260952594511 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 4.3120130655219313 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 4.3116023051920971 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 4.3114806841840396 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 4.311494029476612 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 4.3114849855520205 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 4.3114893411281221 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 18 ,nearest: |[0.00098, 0.00137]| ,std: 4.3114898746112553 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 4.708783480889954 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 3.9730745248387014 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 3.9853865590247222 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 4.2562784063582475 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 4.2659715675788092 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 4.2651211605055055 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 4.2674227550578943 ,rms: nan
datetime: 2014-01-01 02:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 4.2669329579096207 ,rms: nan
