datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 40.209659084273135 ,rms: 3833.6880000000006
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 45.650051513178134 ,rms: 3803.0
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 43.217163981403871 ,rms: 2501.5999999999999
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 42.832257670007579 ,rms: 2410.4000000000001
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 42.724031500184822 ,rms: 2082.4000000000001
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 42.781462397904711 ,rms: 2082.4000000000001
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 42.756821794029598 ,rms: 2082.4000000000001
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 42.775546820434073 ,rms: 2082.4000000000001
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 39.566810586652046 ,rms: 1643.6500000000001
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 29.659017916141455 ,rms: 2302.8480000000004
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 42.669046008141528 ,rms: 1061.4000000000001
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 45.918825973991559 ,rms: 1535.5999999999999
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 44.25502905036786 ,rms: 2360.5999999999999
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 44.036277322212705 ,rms: 814.64999999999998
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 43.982344384365497 ,rms: 814.64999999999998
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 44.056104459443979 ,rms: 814.64999999999998
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 44.035777122891574 ,rms: 814.64999999999998
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 44.056041720125471 ,rms: 814.64999999999998
datetime: 2014-01-01 00:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 44.051143479893696 ,rms: 814.64999999999998
datetime: 2014-01-01 00:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 44.061400396427274 ,rms: 814.64999999999998
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 28.467042347247808 ,rms: 5137.5540000000019
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 20.754242789126273 ,rms: 5194.2340000000004
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 41.500756078679352 ,rms: 5724.8980000000001
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 45.820473746270615 ,rms: 5672.8980000000001
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 44.299334056494502 ,rms: 4189.3779999999997
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 44.538562676205224 ,rms: 2815.9540000000002
